[09-16 10:52:38]Log stream open success.
[09-17 09:05:14](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 09:05:25](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 09:05:25](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 09:07:30](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 09:08:35](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 09:08:46](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 09:08:46](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 09:09:22](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 09:12:27](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 09:12:37](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 09:12:37](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 09:15:08](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 09:18:54](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 09:19:05](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 09:19:05](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 09:22:10](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 09:29:14](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 09:29:24](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 09:29:24](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 09:30:53](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 09:39:20](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 09:39:29](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 09:39:29](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 09:43:32](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 09:47:51](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 09:48:01](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 09:48:01](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 09:49:26](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 09:50:18](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 09:50:27](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 09:50:27](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 09:54:25](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 09:55:13](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 09:55:22](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 09:55:22](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 09:56:01](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 09:56:27](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 09:56:32](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 09:56:32](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 09:58:12](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 10:02:32](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 10:02:37](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 10:02:37](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 10:16:42](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 10:17:11](127.0.0.1):[X3]login success, 	 nline/total:1/0
[09-17 10:17:16](127.0.0.1):[X3]select char[675476547]begin paly...£¬	 online/total:1/0
[09-17 10:17:16](127.0.0.1):[X3] char [675476547]entry map server begin play...£¬	 online/total:1/1
[09-17 10:23:24](127.0.0.1):[X3]logout,	 online/total:0/0
[09-17 10:27:28](127.0.0.1):[X3]login success, 	 nline/total:1/0
