[08-07 09:18:05]日志流被成功打开.
[07-09 11:55:08](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 12:03:18](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 12:07:23](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 12:07:28](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 12:07:28](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 12:07:41](127.0.0.1)：[test0002]exit char[878]begin entry select char UI...，	 online/total:1/0
[07-09 12:21:58](127.0.0.1)：[test0002]logout,	 online/total:0/0
[07-09 13:02:27](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[07-09 13:02:39](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 13:02:40](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 13:03:25](127.0.0.1)：[test0002]exit char[878]begin entry select char UI...，	 online/total:1/0
[07-09 13:03:38](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[07-09 13:03:38](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[07-09 13:04:18](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 13:14:19](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 13:14:31](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[08-07 13:16:10](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[08-07 13:18:19](127.0.0.1)：[test0002]exit char[878]begin entry select char UI...，	 online/total:1/0
[08-07 13:18:24](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[08-07 13:20:40](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 13:24:54](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 13:25:03](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[08-07 13:25:09](127.0.0.1):[test0002] char [878]entry map server begin play...，	 online/total:1/1
[08-07 13:26:57](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 13:27:09](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 13:27:14](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[08-07 13:27:14](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 13:27:22](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 13:27:39](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[08-07 13:30:09](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 13:31:10](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 13:31:19](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[08-07 13:32:37](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[08-07 13:32:46](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 13:32:57](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 13:33:02](127.0.0.1)：[test0002]select char[878]begin paly...，	 online/total：1/0
[08-07 13:52:25](127.0.0.1)：[test0002]logout,	 online/total:0/0
[08-07 13:52:58](127.0.0.1)：[test0002]login success, 	 nline/total:1/0
[08-07 13:53:17](127.0.0.1)：[test00028781/0
