[08-22 12:15:15]Log stream open success.
[08-22 12:15:16]begin connect database
[08-22 12:15:16]begin init AccountServer connect
[08-22 12:22:46]GateServer:127.0.0.1,3841go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:22:51]GateServer:127.0.0.1,3843come ! Socket num:3
[08-22 12:22:51]GateServer:127.0.0.1,3843go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:22:56]GateServer:127.0.0.1,3844come ! Socket num:3
[08-22 12:22:56]GateServer:127.0.0.1,3844go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:01]GateServer:127.0.0.1,3846come ! Socket num:3
[08-22 12:23:01]GateServer:127.0.0.1,3846go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:06]GateServer:127.0.0.1,3847come ! Socket num:3
[08-22 12:23:06]GateServer:127.0.0.1,3847go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:11]GateServer:127.0.0.1,3849come ! Socket num:3
[08-22 12:23:11]GateServer:127.0.0.1,3849go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:16]GateServer:127.0.0.1,3850come ! Socket num:3
[08-22 12:23:16]GateServer:127.0.0.1,3850go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:21]GateServer:127.0.0.1,3851come ! Socket num:3
[08-22 12:23:21]GateServer:127.0.0.1,3851go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:26]GateServer:127.0.0.1,3853come ! Socket num:3
[08-22 12:23:26]GateServer:127.0.0.1,3853go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:31]GateServer:127.0.0.1,3855come ! Socket num:3
[08-22 12:23:31]GateServer:127.0.0.1,3855go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:36]GateServer:127.0.0.1,3857come ! Socket num:3
[08-22 12:23:36]GateServer:127.0.0.1,3857go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:41]GateServer:127.0.0.1,3858come ! Socket num:3
[08-22 12:23:41]GateServer:127.0.0.1,3858go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:46]GateServer:127.0.0.1,3860come ! Socket num:3
[08-22 12:23:46]GateServer:127.0.0.1,3860go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:52]GateServer:127.0.0.1,3861come ! Socket num:3
[08-22 12:23:52]GateServer:127.0.0.1,3861go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:23:57]GateServer:127.0.0.1,3863come ! Socket num:3
[08-22 12:23:57]GateServer:127.0.0.1,3863go ! Socket num:2reason=(65534)程序采用的默认反连接。
[08-22 12:24:02]GateServer:127.0.0.1,3864come ! Socket num:3
[08-22 12:24:02]GateServer:127.0.0.1,3864go ! Socket num:2reason=(65534)程序采用的默认反连接。
