[09-02 15:10:38]Log stream open success.
[09-02 16:46:53](127.0.0.1):[test0001] char [limeili]entry map server begin play...，	 online/total:1/1
[09-02 16:47:16](127.0.0.1)：[test0001]logout,	 online/total:0/0
[09-02 16:49:30](127.0.0.1)：[test0001]login success, 	 nline/total:1/0
[09-02 16:49:34](127.0.0.1)：[test0001]select char[limeili]begin paly...，	 online/total：1/0
[09-02 16:49:34](127.0.0.1):[test0001] char [limeili]entry map server begin play...，	 online/total:1/1
[09-02 16:53:38](127.0.0.1)：[test0001]logout,	 online/total:0/0
[09-02 16:56:35](127.0.0.1)：[test0001]login success, 	 nline/total:1/0
[09-02 16:56:39](127.0.0.1)：[test0001]select char[limeili]begin paly...，	 online/total：1/0
[09-02 16:56:53](127.0.0.1)：[test0001]select char[8564543]begin paly...，	 online/total：1/0
[09-02 16:56:55](127.0.0.1)：[test0001]select char[limeili]begin paly...，	 online/total：1/0
[09-02 16:58:07](127.0.0.1)：[test0001]select char[limeili]begin paly...，	 online/total：1/0
[09-02 16:58:07](127.0.0.1):[test0001] char [limeili]entry map server begin play...，	 online/total:1/1
[09-02 16:58:51](127.0.0.1)：[test0001]logout,	 online/total:0/0
[09-02 17:01:04](127.0.0.1)：[test0001]login success, 	 nline/total:1/0
[09-02 17:01:08](127.0.0.1)：[test0001]select char[limeili]begin paly...，	 online/total：1/0
[09-02 17:01:08](127.0.0.1):[test0001] char [limeili]entry map server begin play...，	 online/total:1/1
[09-02 17:07:19](127.0.0.1)：[test0001]logout,	 online/total:0/0
[09-02 17:08:38](127.0.0.1)：[test0001]login success, 	 nline/total:1/0
[09-02 17:08:43](127.0.0.1)：[test0001]select char[limeili]begin paly...，	 online/total：1/0
[09-02 17:08:43](127.0.0.1):[test0001] char [limeili]entry map server begin play...，	 online/total:1/1
[09-02 17:16:00](127.0.0.1)：[test0001]logout,	 online/total:0/0
[09-02 17:17:09](127.0.0.1)：[test0001]login success, 	 nline/total:1/0
[09-02 17:17:13](127.0.0.1)：[test0001]select char[limeili]begin paly...，	 online/total：1/0
[09-02 17:17:13](127.0.0.1):[test0001] char [limeili]entry map server begin play...，	 online/total:1/1
[09-02 17:19:26](127.0.0.1)：[test0001]logout,	 online/total:0/0
[09-02 17:21:27](127.0.0.1)：[test0001]login success, 	 nline/total:1/0
[09-02 17:21:31](127.0.0.1)：[test0001]select char[limeili]begin paly...，	 online/total：1/0
[09-02 17:21:31](127.0.0.1):[test0001] char [limeili]entry map server begin play...，	 online/total:1/1
[09-02 17:50:07](127.0.0.1)：[test0002]login success, 	 nline/total:2/1
[09-02 17:50:17](127.0.0.1)：[test0002]select char[113111]begin paly...，	 online/total：2/1
[09-02 17:50:18](127.0.0.1)：[test0002]select char[李美丽]begin paly...，	 online/total：2/1
[09-02 17:50:18](127.0.0.1):[test0002] char [李美丽]entry map server begin play...，	 online/total:2/2
[09-02 17:51:48](127.0.0.1)：[test0002]logout,	 online/total:1/1
[09-02 17:51:49](127.0.0.1)：[test0001]logout,	 online/total:0/0
